MachineID,Type,Location,Timestamp,EngineTemperature,FuelConsumption,VibrationLevel,Humidity,Pressure,PowerOutput,OperatingHours,Status,Status_encoded,Timestamp_epoch,hour,dayofweek,month
M001,Loader,Site D,9/1/2025 15:00,74.7,7.63,4.28,58.6,963.5,199.8,16,Maintenance,3,1756738800,15,0,9
M001,Loader,Site D,9/1/2025 16:00,70.9,11.99,3.97,62.9,940.6,209.3,17,Active,0,1756742400,16,0,9
M001,Loader,Site D,9/1/2025 17:00,70.5,5.86,3.35,70.5,957.4,220.3,18,Maintenance,3,1756746000,17,0,9
M001,Loader,Site D,9/1/2025 18:00,75.5,10.09,3.13,62.7,972,200.5,19,Maintenance,3,1756749600,18,0,9
M001,Loader,Site D,9/1/2025 19:00,83.4,13.87,3,60.5,945.4,220.6,20,Active,0,1756753200,19,0,9
M001,Loader,Site D,9/1/2025 20:00,80.4,8.21,2.95,75.5,949,209,21,Active,0,1756756800,20,0,9
M001,Loader,Site D,9/1/2025 21:00,69.4,10.44,4.61,70.5,931.7,205,22,Fault,1,1756760400,21,0,9
M001,Loader,Site D,9/1/2025 22:00,73.1,12.49,3.57,73,959.3,168.4,23,Idle,2,1756764000,22,0,9
M001,Loader,Site D,9/1/2025 23:00,82.3,9.7,4.26,64.8,912.9,188,24,Idle,2,1756767600,23,0,9
M001,Loader,Site D,9/2/2025 0:00,71.6,11.27,4.29,90.8,952.1,197.5,25,Active,0,1756771200,0,1,9
M001,Loader,Site D,9/2/2025 1:00,74.1,12.14,4.22,88.3,947.1,192.5,26,Maintenance,3,1756774800,1,1,9
M001,Loader,Site D,9/2/2025 2:00,75.6,14.82,4.81,72.5,958.1,208.3,27,Active,0,1756778400,2,1,9
M001,Loader,Site D,9/2/2025 3:00,74.9,12.49,1.95,60.2,949.2,196.6,28,Active,0,1756782000,3,1,9
M001,Loader,Site D,9/2/2025 4:00,84.4,10.63,3.98,78.3,931.8,203.3,29,Idle,2,1756785600,4,1,9
M001,Loader,Site D,9/2/2025 5:00,75.1,9.77,3.09,67.8,949.7,208.7,30,Maintenance,3,1756789200,5,1,9
M001,Loader,Site D,9/2/2025 6:00,78.2,8.07,2.94,77.1,942,209.4,31,Maintenance,3,1756792800,6,1,9
M001,Loader,Site D,9/2/2025 7:00,71.7,12.29,1.95,85.8,955.5,221.3,32,Maintenance,3,1756796400,7,1,9
M001,Loader,Site D,9/2/2025 8:00,71.8,11.36,4.14,74.2,958.4,199.9,33,Maintenance,3,1756800000,8,1,9
M001,Loader,Site D,9/2/2025 9:00,79.5,9.88,3.09,66.8,937.3,236.7,34,Active,0,1756803600,9,1,9
M001,Loader,Site D,9/2/2025 10:00,72.9,9.82,3.7,63.2,951.6,190.8,35,Active,0,1756807200,10,1,9
M001,Loader,Site D,9/2/2025 11:00,65.3,12.03,1.89,54.4,952.7,187.7,36,Maintenance,3,1756810800,11,1,9
M001,Loader,Site D,9/2/2025 12:00,71.3,8.2,3.52,93.1,940.3,197.9,37,Maintenance,3,1756814400,12,1,9
M001,Loader,Site D,9/2/2025 13:00,62.2,9.96,3,80.3,942.9,191.5,38,Maintenance,3,1756818000,13,1,9
M001,Loader,Site D,9/2/2025 14:00,72.6,8.96,3.54,68.7,966.7,206.8,39,Active,0,1756821600,14,1,9
M001,Loader,Site D,9/2/2025 15:00,83.1,12.9,4.26,94.2,942.5,202.9,40,Active,0,1756825200,15,1,9
M001,Loader,Site D,9/2/2025 16:00,77.8,12.17,2.98,72.5,975,213,41,Fault,1,1756828800,16,1,9
M001,Loader,Site D,9/2/2025 17:00,72.5,13.13,4.13,54.5,921.2,218.1,42,Idle,2,1756832400,17,1,9
M001,Loader,Site D,9/2/2025 18:00,73.6,8.9,3.95,60.9,935,199.5,43,Maintenance,3,1756836000,18,1,9
M001,Loader,Site D,9/2/2025 19:00,74.2,11.43,2.85,77.4,948.5,187.9,44,Maintenance,3,1756839600,19,1,9
M001,Loader,Site D,9/2/2025 20:00,84.5,11.58,3.66,73.7,967.4,217,45,Fault,1,1756843200,20,1,9
M001,Loader,Site D,9/2/2025 21:00,78.1,10.04,5.87,77.6,948.6,189.2,46,Fault,1,1756846800,21,1,9
M001,Loader,Site D,9/2/2025 22:00,80.3,11.39,5.52,79.7,972.6,167.9,47,Idle,2,1756850400,22,1,9
M001,Loader,Site D,9/2/2025 23:00,74.9,11.28,3.31,62.8,927.1,217.7,48,Active,0,1756854000,23,1,9
M001,Loader,Site D,9/3/2025 0:00,79.9,10.93,3.29,70.3,991.3,215.4,49,Fault,1,1756857600,0,2,9
M001,Loader,Site D,9/3/2025 1:00,68.7,12.31,4.66,65.7,978.2,219.2,50,Idle,2,1756861200,1,2,9
M001,Loader,Site D,9/3/2025 2:00,79.8,10.14,0.43,66.8,932.3,203.6,51,Fault,1,1756864800,2,2,9
M001,Loader,Site D,9/3/2025 3:00,76.8,10.23,1.65,69.8,973.1,184.8,52,Active,0,1756868400,3,2,9
M001,Loader,Site D,9/3/2025 4:00,75.5,10.96,2.5,61.2,931.6,200.8,53,Active,0,1756872000,4,2,9
M001,Loader,Site D,9/3/2025 5:00,76.1,7.17,2.92,54.8,956.1,209.7,54,Fault,1,1756875600,5,2,9
M001,Loader,Site D,9/3/2025 6:00,65.1,12.27,4.1,57.3,929.1,222.1,55,Maintenance,3,1756879200,6,2,9
M001,Loader,Site D,9/3/2025 7:00,76.8,15.29,3.45,58.2,940.1,204,56,Idle,2,1756882800,7,2,9
M001,Loader,Site D,9/3/2025 8:00,83.3,9.65,3.19,63.8,970.3,200.7,57,Active,0,1756886400,8,2,9
M001,Loader,Site D,9/3/2025 9:00,74.2,9.25,5.53,63.5,971.7,204,58,Active,0,1756890000,9,2,9
M001,Loader,Site D,9/3/2025 10:00,74.6,13.63,4.93,63.3,967.4,222.1,59,Fault,1,1756893600,10,2,9
M001,Loader,Site D,9/3/2025 11:00,83.3,11.88,3.02,68.2,935.1,192.8,60,Maintenance,3,1756897200,11,2,9
M001,Loader,Site D,9/3/2025 12:00,77.6,8.73,4.59,70.4,946.8,211.8,61,Fault,1,1756900800,12,2,9
M001,Loader,Site D,9/3/2025 13:00,73,12.05,3.74,73.7,938.3,217.6,62,Idle,2,1756904400,13,2,9
M001,Loader,Site D,9/3/2025 14:00,80.7,11.99,4.27,51.6,936.3,209.8,63,Idle,2,1756908000,14,2,9
M001,Loader,Site D,9/3/2025 15:00,63,12.01,3.36,81.4,925.2,177.1,64,Fault,1,1756911600,15,2,9
M001,Loader,Site D,9/3/2025 16:00,68.8,9.23,3.21,62.9,932.1,180.3,65,Active,0,1756915200,16,2,9
M001,Loader,Site D,9/3/2025 17:00,73.6,6.66,3.76,58.6,951.4,167.5,66,Idle,2,1756918800,17,2,9
M001,Loader,Site D,9/3/2025 18:00,77.2,10.23,4.89,69.5,957.6,197.1,67,Fault,1,1756922400,18,2,9
M001,Loader,Site D,9/3/2025 19:00,69,9.45,3.68,68.2,968.9,180.8,68,Active,0,1756926000,19,2,9
M001,Loader,Site D,9/3/2025 20:00,71,9.94,4.32,68.5,952.4,208.4,69,Fault,1,1756929600,20,2,9
M001,Loader,Site D,9/3/2025 21:00,71.9,8.77,3.24,63.5,955.6,185.8,70,Idle,2,1756933200,21,2,9
M001,Loader,Site D,9/3/2025 22:00,71.4,8.44,3.11,75.1,952.8,217.1,71,Active,0,1756936800,22,2,9
M001,Loader,Site D,9/3/2025 23:00,67.2,11.84,4.28,55.7,953.5,214.2,72,Idle,2,1756940400,23,2,9
M001,Loader,Site D,9/4/2025 0:00,80.7,11.14,4.29,82.4,956.9,200.4,73,Maintenance,3,1756944000,0,3,9
M001,Loader,Site D,9/4/2025 1:00,81.1,12.08,1.99,59.2,943.7,202.8,74,Active,0,1756947600,1,3,9
M001,Loader,Site D,9/4/2025 2:00,70,9.47,3.4,64.1,950.5,202.5,75,Maintenance,3,1756951200,2,3,9
M001,Loader,Site D,9/4/2025 3:00,71,12.02,3.52,79.8,941.7,216.4,76,Active,0,1756954800,3,3,9
M001,Loader,Site D,9/4/2025 4:00,71.5,13.04,2.52,83.3,940.9,212.4,77,Maintenance,3,1756958400,4,3,9
M001,Loader,Site D,9/4/2025 5:00,87.5,12.15,4.21,72.4,936.7,228,78,Active,0,1756962000,5,3,9
M001,Loader,Site D,9/4/2025 6:00,76.1,13.73,5.03,67.4,978.7,205.4,79,Active,0,1756965600,6,3,9
M001,Loader,Site D,9/4/2025 7:00,72.7,6.97,2.94,74.6,972.6,205.2,80,Maintenance,3,1756969200,7,3,9
M001,Loader,Site D,9/4/2025 8:00,76.6,11.96,3.39,72.3,933.2,180.2,81,Active,0,1756972800,8,3,9
M001,Loader,Site D,9/4/2025 9:00,74.8,10.8,3.52,80.5,960.8,212.7,82,Active,0,1756976400,9,3,9
M001,Loader,Site D,9/4/2025 10:00,71.8,9.75,3.88,63.8,949.8,176.7,83,Idle,2,1756980000,10,3,9
M001,Loader,Site D,9/4/2025 11:00,71.9,10.42,3.86,78,984.9,185.2,84,Fault,1,1756983600,11,3,9
M001,Loader,Site D,9/4/2025 12:00,70.4,9.14,4.75,68.4,926.1,192.1,85,Fault,1,1756987200,12,3,9
M001,Loader,Site D,9/4/2025 13:00,70.5,11.2,2.37,77.4,955.4,182.6,86,Active,0,1756990800,13,3,9
M001,Loader,Site D,9/4/2025 14:00,73.6,11.93,3.96,76.9,951.1,183.2,87,Fault,1,1756994400,14,3,9
M001,Loader,Site D,9/4/2025 15:00,71.5,6.74,3.66,49.7,949.2,207,88,Fault,1,1756998000,15,3,9
M001,Loader,Site D,9/4/2025 16:00,68.9,9.76,2.68,68.7,939,169.2,89,Active,0,1757001600,16,3,9
M001,Loader,Site D,9/4/2025 17:00,75.9,9.69,5.81,58.2,947,209.2,90,Maintenance,3,1757005200,17,3,9
M001,Loader,Site D,9/4/2025 18:00,74.4,10.26,3.43,55,928.8,190.6,91,Maintenance,3,1757008800,18,3,9
M001,Loader,Site D,9/4/2025 19:00,73.3,14.65,3.08,65.7,939.3,198.1,92,Fault,1,1757012400,19,3,9
M001,Loader,Site D,9/4/2025 20:00,76,10.56,3.83,88.7,938.1,195.7,93,Maintenance,3,1757016000,20,3,9
M001,Loader,Site D,9/4/2025 21:00,72.9,9.03,4.02,73.7,968.4,182.9,94,Idle,2,1757019600,21,3,9
M001,Loader,Site D,9/4/2025 22:00,74.9,10.19,3.49,53.9,977.3,210.2,95,Active,0,1757023200,22,3,9
M001,Loader,Site D,9/4/2025 23:00,74.4,8.67,2.57,70.6,991.7,205.1,96,Active,0,1757026800,23,3,9
M001,Loader,Site D,9/5/2025 0:00,69,10.47,4.15,74.5,958.4,178.6,97,Maintenance,3,1757030400,0,4,9
M001,Loader,Site D,9/5/2025 1:00,79.1,14.24,3.72,68.4,919.4,207.7,98,Maintenance,3,1757034000,1,4,9
M001,Loader,Site D,9/5/2025 2:00,78,11.15,2.63,59.4,987.8,186.8,99,Active,0,1757037600,2,4,9
M001,Loader,Site D,9/5/2025 3:00,68.9,12.36,2.74,61,974.7,224.1,100,Fault,1,1757041200,3,4,9
M001,Loader,Site D,9/5/2025 4:00,68.9,9.67,4.07,81.9,946.4,210.3,101,Maintenance,3,1757044800,4,4,9
M001,Loader,Site D,9/5/2025 5:00,70.8,11.19,3.01,97.2,978.3,203.8,102,Fault,1,1757048400,5,4,9
M001,Loader,Site D,9/5/2025 6:00,69.2,10.38,2.48,71.5,938.7,190.3,103,Fault,1,1757052000,6,4,9
M001,Loader,Site D,9/5/2025 7:00,79,11.13,2.6,76.3,956.4,200.6,104,Idle,2,1757055600,7,4,9
M001,Loader,Site D,9/5/2025 8:00,71.1,12.57,3.94,72.6,967.2,193.8,105,Active,0,1757059200,8,4,9
M001,Loader,Site D,9/5/2025 9:00,80.6,10.36,3.68,72.1,978.9,220.3,106,Active,0,1757062800,9,4,9
M001,Loader,Site D,9/5/2025 10:00,78.8,9.71,2.4,73.3,969.9,188.9,107,Idle,2,1757066400,10,4,9
M001,Loader,Site D,9/5/2025 11:00,69.4,9.04,3.81,49.3,938.4,197.6,108,Fault,1,1757070000,11,4,9
M001,Loader,Site D,9/5/2025 12:00,73.1,10.41,1.74,58.3,970.9,199.9,109,Fault,1,1757073600,12,4,9
M001,Loader,Site D,9/5/2025 13:00,68,12.34,4.27,97.1,951.5,196.7,110,Active,0,1757077200,13,4,9
M001,Loader,Site D,9/5/2025 14:00,78.4,8.21,3.87,71.4,954.3,179.5,111,Fault,1,1757080800,14,4,9
M001,Loader,Site D,9/5/2025 15:00,79.1,9.59,3.78,61,940.3,196,112,Idle,2,1757084400,15,4,9
M001,Loader,Site D,9/5/2025 16:00,79.2,11.3,2.63,84.2,979.2,182.4,113,Idle,2,1757088000,16,4,9
M001,Loader,Site D,9/5/2025 17:00,71.1,7.62,2.84,77.5,968.1,216,114,Active,0,1757091600,17,4,9
M001,Loader,Site D,9/5/2025 18:00,65.3,11.52,4.82,56.9,967.3,212.1,115,Idle,2,1757095200,18,4,9
M001,Loader,Site D,9/5/2025 19:00,70.7,9.15,2.57,79.7,960.2,215.9,116,Idle,2,1757098800,19,4,9
M001,Loader,Site D,9/5/2025 20:00,68.1,10.07,3.3,62.8,985.1,203.6,117,Active,0,1757102400,20,4,9
M001,Loader,Site D,9/5/2025 21:00,83.5,10.3,0.98,62.4,953.4,196,118,Active,0,1757106000,21,4,9
M001,Loader,Site D,9/5/2025 22:00,60.9,8.49,2.61,73.8,990.7,201,119,Active,0,1757109600,22,4,9
M001,Loader,Site D,9/5/2025 23:00,76.3,9.79,3.27,65.1,938.6,190.9,120,Active,0,1757113200,23,4,9
M001,Loader,Site D,9/6/2025 0:00,83.5,10.92,4.3,83,963.1,193.9,121,Active,0,1757116800,0,5,9
M001,Loader,Site D,9/6/2025 1:00,78.6,9.53,2.56,64.9,962.8,206.4,122,Active,0,1757120400,1,5,9
M001,Loader,Site D,9/6/2025 2:00,82.2,11.23,3.57,66.3,962.4,165.7,123,Fault,1,1757124000,2,5,9
M001,Loader,Site D,9/6/2025 3:00,71.4,9.95,4.46,67.4,958.3,200.7,124,Idle,2,1757127600,3,5,9
M001,Loader,Site D,9/6/2025 4:00,77.5,12.88,3.62,54.2,985.2,223.2,125,Idle,2,1757131200,4,5,9
M001,Loader,Site D,9/6/2025 5:00,81.8,9.55,3.99,64.7,958.5,235.9,126,Maintenance,3,1757134800,5,5,9
M001,Loader,Site D,9/6/2025 6:00,71.1,12.42,3.85,70.9,925.3,196.7,127,Active,0,1757138400,6,5,9
M001,Loader,Site D,9/6/2025 7:00,74.8,8.74,2.04,65.8,940.3,205.3,128,Active,0,1757142000,7,5,9
M001,Loader,Site D,9/6/2025 8:00,63,9.02,2.68,69.9,950.6,208.5,129,Fault,1,1757145600,8,5,9
M001,Loader,Site D,9/6/2025 9:00,82.8,11.18,3.44,62.8,980.5,171.1,130,Fault,1,1757149200,9,5,9
M001,Loader,Site D,9/6/2025 10:00,69.8,7.2,2.96,64.4,924.3,198.3,131,Maintenance,3,1757152800,10,5,9
M001,Loader,Site D,9/6/2025 11:00,65.6,8.53,3.02,71.4,951.9,181.3,132,Fault,1,1757156400,11,5,9
M001,Loader,Site D,9/6/2025 12:00,66.3,11.5,2.97,70.3,931.1,179.3,133,Maintenance,3,1757160000,12,5,9
M001,Loader,Site D,9/6/2025 13:00,71.5,12.98,3.78,62.9,958.5,208.4,134,Fault,1,1757163600,13,5,9
M001,Loader,Site D,9/6/2025 14:00,83,10.18,3.96,70.7,976.3,198.8,135,Idle,2,1757167200,14,5,9
M001,Loader,Site D,9/6/2025 15:00,73.5,11.8,3.66,64,961.9,184.4,136,Active,0,1757170800,15,5,9
M001,Loader,Site D,9/6/2025 16:00,78.5,12.5,2.6,69.8,912.8,202.7,137,Active,0,1757174400,16,5,9
M001,Loader,Site D,9/6/2025 17:00,71.5,9.62,3.64,47.4,917.9,193.4,138,Idle,2,1757178000,17,5,9
M001,Loader,Site D,9/6/2025 18:00,69.8,9.42,4.23,81.8,927.7,208.4,139,Maintenance,3,1757181600,18,5,9
M001,Loader,Site D,9/6/2025 19:00,65.6,10.08,3.14,61.5,915.2,191.9,140,Fault,1,1757185200,19,5,9
M001,Loader,Site D,9/6/2025 20:00,71.6,12.34,2.91,77.4,949.8,192.9,141,Idle,2,1757188800,20,5,9
M001,Loader,Site D,9/6/2025 21:00,68.3,9.49,3.81,47.8,953.3,220.7,142,Fault,1,1757192400,21,5,9
M001,Loader,Site D,9/6/2025 22:00,77.9,11.38,3.76,59.8,956.8,204.1,143,Fault,1,1757196000,22,5,9
M001,Loader,Site D,9/6/2025 23:00,76.9,7.3,3.99,61.2,971.4,229.4,144,Idle,2,1757199600,23,5,9
M001,Loader,Site D,9/7/2025 0:00,85.1,13.93,1.85,77.7,959.5,241.9,145,Active,0,1757203200,0,6,9
M001,Loader,Site D,9/7/2025 1:00,77.1,11.39,6.67,73.6,958.7,194.9,146,Active,0,1757206800,1,6,9
M001,Loader,Site D,9/7/2025 2:00,70.8,15.54,2.08,79,974.5,200.1,147,Idle,2,1757210400,2,6,9
M001,Loader,Site D,9/7/2025 3:00,78.9,10.86,4.82,69.7,953.8,221.4,148,Idle,2,1757214000,3,6,9
M001,Loader,Site D,9/7/2025 4:00,73.9,7.64,3.61,82,946.1,188,149,Active,0,1757217600,4,6,9
M001,Loader,Site D,9/7/2025 5:00,76.1,9.76,3.62,60.3,954.2,207.2,150,Fault,1,1757221200,5,6,9
M001,Loader,Site D,9/7/2025 6:00,66.5,8.98,3.02,67.4,991.1,179.5,151,Idle,2,1757224800,6,6,9
M001,Loader,Site D,9/7/2025 7:00,83.1,8.43,3.57,66.5,947.9,226.5,152,Active,0,1757228400,7,6,9
M001,Loader,Site D,9/7/2025 8:00,72.9,11.83,4.9,70.4,968.4,194.8,153,Fault,1,1757232000,8,6,9
M001,Loader,Site D,9/7/2025 9:00,77.2,9.49,2.5,51.4,928.4,193,154,Fault,1,1757235600,9,6,9
M001,Loader,Site D,9/7/2025 10:00,70.5,11.64,4.23,74.3,941.1,164.6,155,Active,0,1757239200,10,6,9
M001,Loader,Site D,9/7/2025 11:00,69.6,10.93,1.92,70.2,952.6,190.5,156,Maintenance,3,1757242800,11,6,9
M001,Loader,Site D,9/7/2025 12:00,74.9,12.49,3.58,76.6,968.1,215.7,157,Idle,2,1757246400,12,6,9
M001,Loader,Site D,9/7/2025 13:00,69.6,9.69,4.14,73.2,967.8,177.2,158,Active,0,1757250000,13,6,9
M001,Loader,Site D,9/7/2025 14:00,72.7,11.06,3.96,72.9,943.6,199.2,159,Fault,1,1757253600,14,6,9
M001,Loader,Site D,9/7/2025 15:00,69.8,13.56,4.26,67.4,952.7,192.7,160,Active,0,1757257200,15,6,9
M001,Loader,Site D,9/7/2025 16:00,83.8,11.54,3.3,74.8,915,199.7,161,Active,0,1757260800,16,6,9
M001,Loader,Site D,9/7/2025 17:00,75.5,11.89,4.99,77.8,948.2,198.5,162,Active,0,1757264400,17,6,9
M001,Loader,Site D,9/7/2025 18:00,72.8,7.1,3.76,65.1,944.1,212.3,163,Maintenance,3,1757268000,18,6,9
M001,Loader,Site D,9/7/2025 19:00,70.6,8.94,4.11,69.8,931.3,195.4,164,Active,0,1757271600,19,6,9
M001,Loader,Site D,9/7/2025 20:00,78.5,14.67,3.68,82.4,928.2,197.5,165,Fault,1,1757275200,20,6,9
M001,Loader,Site D,9/7/2025 21:00,78.4,7.96,4.5,62.5,981.6,191.4,166,Idle,2,1757278800,21,6,9
M001,Loader,Site D,9/7/2025 22:00,72.7,13.71,3.08,72.5,912,198.4,167,Active,0,1757282400,22,6,9
M001,Loader,Site D,9/7/2025 23:00,70.7,9.79,5.02,91.3,956.5,221.4,168,Fault,1,1757286000,23,6,9
M001,Loader,Site D,9/8/2025 0:00,77.8,9.68,4.36,71,956.6,187.9,169,Active,0,1757289600,0,0,9
M001,Loader,Site D,9/8/2025 1:00,68.8,10.86,4.13,63.9,915.7,210.8,170,Idle,2,1757293200,1,0,9
M001,Loader,Site D,9/8/2025 2:00,72.7,13.14,2.57,57.3,930.4,173.7,171,Fault,1,1757296800,2,0,9
M001,Loader,Site D,9/8/2025 3:00,71.1,11.65,3.13,62.4,956.6,201,172,Idle,2,1757300400,3,0,9
M001,Loader,Site D,9/8/2025 4:00,76.7,9.87,3.76,53.4,950.8,204.5,173,Idle,2,1757304000,4,0,9
M001,Loader,Site D,9/8/2025 5:00,81,12.31,3.53,71,953.5,198.4,174,Active,0,1757307600,5,0,9
M001,Loader,Site D,9/8/2025 6:00,82.2,10.53,3.4,71,919.8,206.3,175,Idle,2,1757311200,6,0,9
M001,Loader,Site D,9/8/2025 7:00,73.6,11.94,4.6,60.3,981.2,200,176,Fault,1,1757314800,7,0,9
M001,Loader,Site D,9/8/2025 8:00,74,9.31,3.12,84.9,942.8,222.5,177,Idle,2,1757318400,8,0,9
M001,Loader,Site D,9/8/2025 9:00,73.8,10.41,3.87,57.3,939.5,201,178,Idle,2,1757322000,9,0,9
M001,Loader,Site D,9/8/2025 10:00,74.8,14.46,4.03,87.3,960.8,191.7,179,Idle,2,1757325600,10,0,9
M001,Loader,Site D,9/8/2025 11:00,77.9,10.57,3.99,68,932.5,197.4,180,Fault,1,1757329200,11,0,9
M001,Loader,Site D,9/8/2025 12:00,79.3,10.37,2.92,51.7,967.6,172.2,181,Idle,2,1757332800,12,0,9
M001,Loader,Site D,9/8/2025 13:00,78.3,9.89,4.24,68.9,993.5,187.8,182,Maintenance,3,1757336400,13,0,9
M001,Loader,Site D,9/8/2025 14:00,73.8,11.33,5.49,70.1,931.4,204.8,183,Maintenance,3,1757340000,14,0,9
M001,Loader,Site D,9/8/2025 15:00,74.1,12.15,3.93,71.8,907,181.6,184,Maintenance,3,1757343600,15,0,9
M001,Loader,Site D,9/8/2025 16:00,69.6,10.74,4.92,59.1,957.5,202.8,185,Active,0,1757347200,16,0,9
M001,Loader,Site D,9/8/2025 17:00,72.2,7.73,3.2,52.9,976,177,186,Fault,1,1757350800,17,0,9
M001,Loader,Site D,9/8/2025 18:00,72.6,8.58,4.69,70.8,933.9,159.7,187,Maintenance,3,1757354400,18,0,9
M001,Loader,Site D,9/8/2025 19:00,77.2,8.87,2.39,54.9,943.1,210.6,188,Active,0,1757358000,19,0,9
M001,Loader,Site D,9/8/2025 20:00,73.4,13.83,2.63,73.2,985.7,180.6,189,Idle,2,1757361600,20,0,9
M001,Loader,Site D,9/8/2025 21:00,74.5,10.37,3.14,79.2,910.4,211.4,190,Fault,1,1757365200,21,0,9
M001,Loader,Site D,9/8/2025 22:00,75,5.74,5.04,66,932.3,207.1,191,Fault,1,1757368800,22,0,9
M001,Loader,Site D,9/8/2025 23:00,77.6,11.48,3.72,88.7,932.1,192.3,192,Maintenance,3,1757372400,23,0,9
M001,Loader,Site D,9/9/2025 0:00,73.4,10.95,5.64,68.6,966.1,188.8,193,Active,0,1757376000,0,1,9
M001,Loader,Site D,9/9/2025 1:00,72,12.43,4.97,71.8,953.3,203.4,194,Active,0,1757379600,1,1,9
M001,Loader,Site D,9/9/2025 2:00,71.9,9.08,2.76,60.7,937.7,169.6,195,Maintenance,3,1757383200,2,1,9
M001,Loader,Site D,9/9/2025 3:00,74.5,6.79,7.28,67.7,964.1,198.1,196,Active,0,1757386800,3,1,9
M001,Loader,Site D,9/9/2025 4:00,80.9,11.49,4.82,81.5,950.9,211.2,197,Active,0,1757390400,4,1,9
M001,Loader,Site D,9/9/2025 5:00,73.9,12.53,4.72,77.4,951.3,173.6,198,Idle,2,1757394000,5,1,9
M001,Loader,Site D,9/9/2025 6:00,75.2,10.44,2.92,63.2,980.3,205,199,Maintenance,3,1757397600,6,1,9
M001,Loader,Site D,9/9/2025 7:00,75.2,7.56,3.63,73.8,967,211.2,200,Maintenance,3,1757401200,7,1,9
M001,Loader,Site D,9/9/2025 8:00,72.3,9.92,2.12,85.5,939.5,201.4,201,Active,0,1757404800,8,1,9
M001,Loader,Site D,9/9/2025 9:00,82.3,7.72,3.41,59.3,949.5,209.3,202,Fault,1,1757408400,9,1,9
M001,Loader,Site D,9/9/2025 10:00,71.5,11.19,4.53,81.9,953.4,211.8,203,Fault,1,1757412000,10,1,9
M001,Loader,Site D,9/9/2025 11:00,76.4,11.22,2.9,53.6,931.1,210,204,Maintenance,3,1757415600,11,1,9
M001,Loader,Site D,9/9/2025 12:00,62.7,12.2,4.49,69.3,939.1,184.9,205,Fault,1,1757419200,12,1,9
M001,Loader,Site D,9/9/2025 13:00,77.3,9.33,4.09,70.3,938.9,230.9,206,Active,0,1757422800,13,1,9
M001,Loader,Site D,9/9/2025 14:00,82.9,8.18,3.18,69.3,957.7,173.9,207,Maintenance,3,1757426400,14,1,9
M001,Loader,Site D,9/9/2025 15:00,71.5,7.36,1.56,71.4,956.4,218.5,208,Maintenance,3,1757430000,15,1,9
M001,Loader,Site D,9/9/2025 16:00,75,10.29,6.53,81.2,949.8,184.4,209,Maintenance,3,1757433600,16,1,9
M001,Loader,Site D,9/9/2025 17:00,70.9,8.46,4.26,68.3,950.2,198.9,210,Active,0,1757437200,17,1,9
M001,Loader,Site D,9/9/2025 18:00,79.5,9.28,3.82,61.9,935,178.4,211,Active,0,1757440800,18,1,9
M001,Loader,Site D,9/9/2025 19:00,80.5,8.52,4.08,42.4,914.3,184.7,212,Active,0,1757444400,19,1,9
M001,Loader,Site D,9/9/2025 20:00,75.5,9.78,3.33,56.1,950.4,166.8,213,Idle,2,1757448000,20,1,9
M001,Loader,Site D,9/9/2025 21:00,73,10.62,2.8,78,909.4,192.9,214,Idle,2,1757451600,21,1,9
